N,P,K,ph,crop
78.85,39.8,40.0,6.82,rice
72.35,36.73,36.39,6.41,rice
73.2,42.23,41.58,7.06,rice
74.48,37.73,39.51,6.83,rice
82.98,33.87,50.47,6.82,rice
80.85,33.61,47.87,6.68,rice
84.14,40.86,41.93,7.56,rice
77.44,47.9,36.18,6.3,rice
80.95,40.8,34.44,5.4,rice
83.75,39.41,45.96,7.2,rice
78.14,41.43,41.31,6.17,rice
82.74,46.53,42.4,6.45,rice
76.03,41.1,31.28,7.05,rice
77.82,37.95,44.64,5.6,rice
77.71,45.53,42.27,5.77,rice
72.82,42.14,34.45,5.6,rice
82.92,47.68,37.64,6.0,rice
77.18,40.92,41.32,6.62,rice
80.07,33.88,40.26,6.66,rice
82.88,33.16,38.54,6.54,rice
82.68,48.25,39.48,5.69,rice
83.99,48.62,38.74,5.24,rice
79.41,39.1,40.76,6.43,rice
77.46,38.08,47.36,6.16,rice
79.52,47.31,27.17,6.63,rice
69.88,34.46,38.82,6.75,rice
71.32,35.53,40.88,6.47,rice
72.06,43.22,41.48,6.78,rice
74.02,38.03,38.14,6.51,rice
82.4,39.97,31.22,6.67,rice
74.57,39.18,41.64,6.05,rice
75.92,54.82,22.06,6.76,maize
78.18,52.48,17.69,6.08,maize
81.92,44.4,25.1,5.68,maize
74.64,40.49,17.49,6.17,maize
80.13,33.18,17.45,6.72,maize
75.4,45.28,22.16,5.71,maize
76.29,60.1,23.05,5.74,maize
81.98,50.17,21.79,6.48,maize
65.04,45.2,13.26,6.09,maize
69.22,50.33,22.15,6.52,maize
68.11,40.2,15.86,6.19,maize
63.0,46.51,20.94,6.55,maize
72.93,48.5,14.31,5.68,maize
81.5,47.57,21.79,6.19,maize
75.29,51.95,16.77,6.09,maize
78.19,49.72,14.87,5.59,maize
83.54,51.34,22.86,5.42,maize
84.97,44.56,20.97,6.54,maize
76.59,52.49,17.54,6.02,maize
85.12,56.14,25.8,5.69,maize
77.55,43.15,18.24,6.15,maize
71.98,43.56,20.13,6.76,maize
73.43,54.68,21.08,5.06,maize
68.12,47.04,17.52,5.45,maize
71.67,55.02,21.88,5.74,maize
74.85,45.79,17.87,6.93,maize
81.82,55.28,18.35,6.34,maize
87.32,48.66,25.45,6.58,maize
68.71,49.29,15.84,5.63,maize
79.36,55.82,10.35,5.64,maize
70.76,46.19,26.44,6.42,maize
79.85,43.29,30.2,6.23,maize
76.21,45.76,18.38,6.47,maize
66.01,50.26,12.25,6.11,maize
82.57,40.17,18.76,6.34,maize
73.37,51.19,18.86,6.28,maize
73.8,45.31,19.24,6.59,maize
70.58,53.74,15.55,6.6,maize
73.07,36.03,22.32,5.39,maize
79.57,44.07,22.1,5.08,maize
75.86,39.57,14.02,6.7,maize
78.97,43.87,22.8,6.79,maize
79.17,49.24,28.21,5.69,maize
84.92,47.1,20.69,5.27,maize
74.94,46.73,18.65,6.25,maize
68.14,47.2,19.43,6.67,maize
83.4,49.02,22.46,7.1,maize
75.01,42.96,13.08,6.46,maize
83.69,51.53,20.66,6.01,maize
79.3,51.31,18.44,5.75,maize
76.21,49.93,27.39,6.21,maize
79.09,50.78,19.3,6.05,maize
88.71,49.48,26.67,5.69,maize
89.46,58.18,15.59,7.22,maize
77.42,47.56,22.35,7.09,maize
77.96,46.46,21.28,6.77,maize
83.46,44.23,16.52,5.74,maize
71.93,42.84,20.71,6.63,maize
79.0,41.78,24.85,6.52,maize
76.84,43.56,18.7,6.42,maize
78.88,47.65,13.23,6.82,maize
72.0,49.67,19.93,6.52,maize
67.46,48.26,16.39,6.57,maize
64.56,44.17,18.63,6.52,maize
70.3,52.5,19.67,6.37,maize
74.25,51.7,13.18,5.31,maize
75.24,47.2,13.54,6.24,maize
88.62,44.74,21.93,5.92,maize
83.64,50.74,17.91,5.56,maize
71.23,48.94,9.74,7.04,maize
79.09,40.76,23.14,7.06,maize
74.56,47.66,21.09,6.88,maize
75.29,49.31,17.14,6.33,maize
78.11,43.5,14.73,6.88,maize
80.72,48.95,23.34,6.21,maize
74.96,40.73,21.4,6.3,maize
83.38,54.68,29.53,5.65,maize
70.15,54.24,21.68,6.4,maize
77.04,46.74,21.55,6.23,maize
92.59,49.82,19.33,5.55,maize
78.34,35.95,23.27,6.17,maize
85.6,42.22,22.5,6.16,maize
77.55,46.53,25.01,7.1,maize
80.48,42.64,17.91,6.65,maize
76.66,51.57,18.26,6.21,maize
75.98,57.99,18.08,6.32,maize
72.32,42.12,23.16,6.22,maize
79.58,43.81,25.99,6.1,maize
71.89,49.18,18.16,5.66,maize
80.99,56.06,18.3,6.12,maize
83.51,41.89,21.26,5.83,maize
79.2,49.25,19.02,5.57,maize
75.28,57.11,23.81,6.46,maize
79.72,39.74,10.99,6.4,maize
75.15,41.59,16.69,5.31,maize
82.61,45.88,16.87,6.14,maize
66.01,45.4,10.72,6.7,maize
74.99,52.06,16.15,6.73,maize
65.06,49.21,16.34,6.71,maize
68.03,39.13,19.2,6.22,maize
35.77,69.95,79.7,7.55,chickpea
34.58,68.51,76.35,7.35,chickpea
41.72,67.26,77.93,7.34,chickpea
41.9,75.94,83.17,7.31,chickpea
46.44,64.89,80.01,6.66,chickpea
45.5,78.3,81.7,7.38,chickpea
39.34,66.87,83.35,6.56,chickpea
33.78,61.61,78.13,6.78,chickpea
38.4,68.35,83.78,7.62,chickpea
41.09,62.62,81.89,7.44,chickpea
38.99,64.24,73.83,7.69,chickpea
37.11,69.99,87.21,6.99,chickpea
41.26,70.78,77.5,6.64,chickpea
37.48,64.89,71.72,7.0,chickpea
36.86,72.94,74.77,7.14,chickpea
41.56,73.79,74.89,7.13,chickpea
37.99,75.18,80.26,7.55,chickpea
41.22,70.65,78.63,6.96,chickpea
41.37,74.82,78.32,7.24,chickpea
34.3,58.6,83.1,6.7,chickpea
37.59,66.41,81.7,7.28,chickpea
47.19,63.66,81.58,7.1,chickpea
34.19,68.6,82.05,6.8,chickpea
29.42,65.14,83.08,7.01,chickpea
30.69,67.17,69.46,7.03,chickpea
40.15,77.41,78.18,6.99,chickpea
40.15,67.15,69.1,7.81,chickpea
39.41,70.07,80.18,7.06,chickpea
46.07,66.84,79.98,7.0,chickpea
26.64,68.38,85.23,6.26,chickpea
41.98,68.03,85.94,6.74,chickpea
47.81,70.24,81.01,6.99,chickpea
34.36,73.83,77.5,6.83,chickpea
38.1,76.24,82.43,7.65,chickpea
36.24,69.55,77.36,7.03,chickpea
35.53,70.95,79.99,7.62,chickpea
38.37,62.25,84.93,7.12,chickpea
47.14,67.56,77.21,7.11,chickpea
49.19,72.7,84.03,7.06,chickpea
38.32,72.33,83.39,7.1,chickpea
49.53,69.06,75.23,7.79,chickpea
40.18,72.43,84.87,6.17,chickpea
48.77,70.45,83.49,6.3,chickpea
39.53,74.0,80.51,6.88,chickpea
40.66,69.45,76.19,7.11,chickpea
41.83,66.22,75.7,7.38,chickpea
55.89,69.68,77.31,7.29,chickpea
44.26,53.35,82.71,6.95,chickpea
36.46,69.91,75.22,7.51,chickpea
44.84,49.76,82.19,7.51,chickpea
38.19,59.38,73.79,7.17,chickpea
37.55,70.26,78.98,7.49,chickpea
44.54,70.39,80.55,7.21,chickpea
40.16,62.19,92.23,6.88,chickpea
41.39,64.44,73.11,7.38,chickpea
40.07,74.85,87.36,7.14,chickpea
41.68,65.58,80.75,7.1,chickpea
42.12,79.21,82.06,7.69,chickpea
30.32,67.99,80.59,6.12,chickpea
43.33,70.04,82.22,6.53,chickpea
35.09,76.08,79.23,6.63,chickpea
32.79,68.66,87.27,6.95,chickpea
39.71,62.99,77.72,7.0,chickpea
40.42,67.45,85.66,6.5,chickpea
36.53,67.82,76.78,6.71,chickpea
44.16,61.18,79.7,6.76,chickpea
33.29,66.72,74.64,8.08,chickpea
37.97,64.29,82.28,7.82,chickpea
37.08,72.62,87.23,6.94,chickpea
39.77,68.17,79.61,6.95,chickpea
41.39,66.59,79.02,6.64,chickpea
34.96,67.47,74.43,6.34,chickpea
43.62,69.12,78.85,7.05,chickpea
40.32,71.08,72.04,6.7,chickpea
30.54,63.0,75.44,7.07,chickpea
30.21,62.79,81.13,6.46,chickpea
39.94,73.52,86.6,6.8,chickpea
38.9,65.94,94.05,7.16,chickpea
39.48,60.92,77.07,7.25,chickpea
39.86,70.22,87.18,7.27,chickpea
41.13,70.32,81.22,6.57,chickpea
44.74,60.35,79.24,7.44,chickpea
34.44,69.15,82.16,6.78,chickpea
34.14,71.68,80.31,7.35,chickpea
34.53,69.87,80.55,7.1,chickpea
41.44,71.16,77.96,6.55,chickpea
46.22,60.98,73.01,6.97,chickpea
37.84,69.66,72.28,7.25,chickpea
27.49,66.49,83.27,7.35,chickpea
31.48,65.59,78.62,7.04,chickpea
35.83,72.35,77.02,7.71,chickpea
37.21,75.4,80.04,7.5,chickpea
37.96,76.97,83.97,7.0,chickpea
40.19,74.57,80.9,7.4,chickpea
38.44,67.45,76.72,7.87,chickpea
45.25,69.76,86.13,7.88,chickpea
36.62,71.83,87.9,6.61,chickpea
35.69,68.61,82.47,6.73,chickpea
42.39,68.65,84.87,7.69,chickpea
32.32,72.12,86.21,6.68,chickpea
14.71,67.27,24.73,5.42,kidneybeans
18.06,56.58,18.7,5.39,kidneybeans
21.68,70.07,19.18,6.36,kidneybeans
19.59,70.77,18.03,5.87,kidneybeans
17.4,65.74,17.68,5.59,kidneybeans
17.3,54.6,22.78,5.95,kidneybeans
17.15,62.02,21.02,4.65,kidneybeans
16.48,73.16,22.61,5.68,kidneybeans
29.13,53.11,19.96,6.7,kidneybeans
21.19,65.26,22.05,5.77,kidneybeans
23.55,61.1,18.32,5.73,kidneybeans
18.04,71.02,28.92,5.97,kidneybeans
19.26,63.62,13.73,6.15,kidneybeans
17.15,69.02,25.04,4.7,kidneybeans
9.39,69.83,25.47,4.86,kidneybeans
14.49,76.18,16.59,5.81,kidneybeans
12.76,65.99,28.92,5.34,kidneybeans
11.0,68.88,23.98,6.36,kidneybeans
15.22,59.57,23.88,5.54,kidneybeans
25.3,72.95,20.11,4.73,kidneybeans
19.82,63.2,19.13,5.07,kidneybeans
25.16,64.2,19.16,4.33,kidneybeans
21.64,66.89,21.56,5.58,kidneybeans
23.13,59.19,25.6,5.61,kidneybeans
16.4,68.14,20.73,5.49,kidneybeans
22.1,71.84,16.35,6.24,kidneybeans
22.91,68.46,23.3,6.3,kidneybeans
17.69,59.06,23.68,5.61,kidneybeans
22.24,66.38,22.62,4.63,kidneybeans
22.26,70.71,22.98,6.01,kidneybeans
17.8,57.61,18.92,5.98,kidneybeans
15.51,61.63,16.28,5.85,kidneybeans
15.26,71.38,16.53,6.19,kidneybeans
20.35,68.35,13.46,5.12,kidneybeans
21.31,69.06,20.95,6.7,kidneybeans
16.83,76.3,19.67,5.22,kidneybeans
20.11,69.34,18.24,6.07,kidneybeans
22.28,70.29,8.18,4.86,kidneybeans
22.47,80.55,15.01,5.23,kidneybeans
26.21,65.93,24.48,6.46,kidneybeans
25.11,63.01,17.34,5.57,kidneybeans
15.99,69.14,21.44,6.12,kidneybeans
26.73,69.19,14.44,5.82,kidneybeans
17.88,64.37,25.75,5.65,kidneybeans
24.18,61.84,19.42,6.38,kidneybeans
20.27,78.55,21.16,5.58,kidneybeans
18.35,68.63,29.3,4.81,kidneybeans
12.77,63.34,26.07,5.3,kidneybeans
19.31,71.58,18.77,5.98,kidneybeans
13.76,66.45,17.63,5.9,kidneybeans
23.87,65.74,18.7,4.92,kidneybeans
26.07,69.81,22.04,5.34,kidneybeans
16.81,60.54,19.58,5.41,kidneybeans
21.21,68.76,18.42,5.52,kidneybeans
17.1,76.56,25.87,5.01,kidneybeans
17.49,69.33,19.54,5.39,kidneybeans
23.1,65.12,29.2,5.34,kidneybeans
19.85,64.46,20.36,6.09,kidneybeans
26.96,64.95,27.14,6.1,kidneybeans
18.07,65.73,21.43,5.63,kidneybeans
24.0,65.11,23.85,5.5,kidneybeans
20.39,71.58,17.1,5.77,kidneybeans
23.18,58.33,16.58,5.29,kidneybeans
18.21,71.31,21.84,5.13,kidneybeans
19.8,65.1,23.95,5.23,kidneybeans
19.54,68.88,20.16,5.38,kidneybeans
16.66,61.37,14.85,5.12,kidneybeans
22.65,73.64,14.56,5.78,kidneybeans
22.6,73.23,14.29,6.06,kidneybeans
22.37,71.8,12.93,4.91,kidneybeans
26.15,59.43,20.44,5.71,kidneybeans
25.8,71.15,24.5,5.59,kidneybeans
18.5,69.02,19.95,5.87,kidneybeans
21.49,58.97,10.96,5.69,kidneybeans
17.51,66.88,19.24,4.97,kidneybeans
20.09,68.82,19.35,5.07,kidneybeans
17.6,69.78,28.38,5.71,kidneybeans
26.48,67.89,14.17,6.21,kidneybeans
21.45,68.46,18.44,4.59,kidneybeans
19.13,74.37,26.82,5.87,kidneybeans
24.77,73.13,21.8,6.29,kidneybeans
11.32,52.66,22.25,5.62,kidneybeans
11.94,65.41,20.46,5.98,kidneybeans
23.18,66.18,21.32,5.35,kidneybeans
20.24,58.24,23.11,5.64,kidneybeans
21.0,67.47,16.76,4.89,kidneybeans
14.69,73.24,23.51,4.53,kidneybeans
19.91,61.57,14.51,6.17,kidneybeans
28.01,68.68,21.31,5.21,kidneybeans
23.3,62.42,20.71,5.47,kidneybeans
20.68,63.64,17.53,5.01,kidneybeans
18.24,74.39,19.91,5.0,kidneybeans
18.42,64.29,17.51,5.61,kidneybeans
11.48,69.31,15.71,5.34,kidneybeans
21.03,57.64,18.59,5.89,kidneybeans
23.38,76.31,15.58,5.93,kidneybeans
13.7,70.01,21.29,5.86,kidneybeans
17.35,66.09,15.4,5.82,kidneybeans
15.37,69.88,22.85,6.49,kidneybeans
16.14,59.95,15.27,5.17,kidneybeans
19.78,61.36,19.84,5.52,pigeonpeas
24.53,64.53,21.77,6.34,pigeonpeas
25.06,67.71,18.78,6.1,pigeonpeas
14.31,55.37,18.36,5.73,pigeonpeas
18.75,68.18,20.37,6.11,pigeonpeas
25.43,76.51,12.32,5.22,pigeonpeas
22.03,64.73,21.91,5.82,pigeonpeas
20.78,68.3,20.0,5.87,pigeonpeas
19.13,72.12,20.16,5.57,pigeonpeas
18.46,66.18,23.84,6.02,pigeonpeas
21.15,64.1,12.19,5.41,pigeonpeas
18.99,55.62,12.1,6.05,pigeonpeas
19.83,70.2,21.1,6.08,pigeonpeas
20.31,66.43,19.97,4.34,pigeonpeas
17.29,61.94,20.68,6.4,pigeonpeas
22.13,67.63,18.15,4.28,pigeonpeas
31.66,64.08,22.66,5.49,pigeonpeas
12.89,64.36,23.73,6.31,pigeonpeas
21.3,70.03,21.94,5.64,pigeonpeas
16.96,60.31,18.96,5.07,pigeonpeas
22.31,72.24,11.57,5.25,pigeonpeas
20.19,60.01,23.08,6.31,pigeonpeas
23.05,63.69,24.89,4.84,pigeonpeas
24.7,76.61,22.58,6.36,pigeonpeas
20.77,72.64,16.48,5.77,pigeonpeas
24.53,67.49,22.7,5.2,pigeonpeas
10.62,62.3,23.44,5.51,pigeonpeas
26.36,64.35,26.24,5.29,pigeonpeas
21.5,67.37,16.5,6.23,pigeonpeas
24.31,67.19,19.09,6.17,pigeonpeas
15.12,66.55,22.99,4.94,pigeonpeas
16.68,66.85,20.23,5.6,pigeonpeas
20.58,65.93,15.53,5.37,pigeonpeas
19.93,59.79,21.66,6.45,pigeonpeas
21.13,64.42,22.31,5.12,pigeonpeas
24.34,71.57,20.35,6.6,pigeonpeas
12.94,60.16,20.88,5.78,pigeonpeas
23.9,66.05,18.97,5.22,pigeonpeas
20.03,62.9,25.91,5.46,pigeonpeas
19.18,67.56,16.4,5.4,pigeonpeas
14.12,65.06,17.65,5.16,pigeonpeas
22.01,74.39,20.04,5.85,pigeonpeas
10.34,69.53,23.52,5.19,pigeonpeas
22.59,60.44,14.01,4.71,pigeonpeas
14.03,70.36,14.76,5.61,pigeonpeas
20.21,63.13,11.85,4.9,pigeonpeas
19.52,64.12,20.13,5.42,pigeonpeas
24.68,68.57,15.53,5.35,pigeonpeas
19.29,64.54,18.46,5.36,pigeonpeas
17.22,71.46,22.65,6.8,pigeonpeas
17.97,63.13,17.43,5.83,pigeonpeas
25.09,63.91,20.93,5.92,pigeonpeas
22.15,63.72,18.8,4.91,pigeonpeas
18.46,64.17,22.69,5.47,pigeonpeas
19.05,72.5,21.9,5.91,pigeonpeas
13.73,70.14,17.23,5.29,pigeonpeas
21.55,75.55,19.33,6.25,pigeonpeas
12.96,78.34,24.17,5.2,pigeonpeas
23.01,61.85,21.57,5.66,pigeonpeas
20.51,67.35,14.41,5.51,pigeonpeas
29.55,61.12,22.62,5.88,pigeonpeas
15.6,63.11,15.66,5.48,pigeonpeas
19.59,63.85,25.65,5.66,pigeonpeas
27.19,61.71,24.1,5.68,pigeonpeas
24.77,61.74,21.16,5.43,pigeonpeas
17.22,66.28,20.63,6.04,pigeonpeas
20.9,60.92,19.16,5.92,pigeonpeas
20.01,71.21,22.71,5.76,pigeonpeas
21.13,62.41,18.52,5.58,pigeonpeas
17.21,81.05,20.94,6.2,pigeonpeas
19.64,64.74,23.49,5.68,pigeonpeas
13.61,67.36,17.75,5.65,pigeonpeas
20.54,60.52,17.54,5.85,pigeonpeas
21.8,75.53,15.22,6.65,pigeonpeas
19.09,72.6,15.74,5.13,pigeonpeas
13.54,68.48,12.69,6.18,pigeonpeas
23.95,60.27,22.92,4.85,pigeonpeas
21.46,68.05,27.24,5.91,pigeonpeas
17.1,61.39,25.7,6.59,pigeonpeas
18.88,74.31,13.5,6.04,pigeonpeas
14.0,71.05,22.9,5.89,pigeonpeas
15.9,67.48,25.69,5.52,pigeonpeas
17.85,54.82,18.17,5.82,pigeonpeas
24.91,62.08,20.41,5.67,pigeonpeas
17.44,70.44,11.97,5.41,pigeonpeas
22.56,73.06,21.07,5.66,pigeonpeas
17.85,72.55,15.75,5.9,pigeonpeas
20.99,59.04,20.8,5.42,pigeonpeas
19.43,68.51,13.76,5.4,pigeonpeas
23.49,72.08,22.17,5.12,pigeonpeas
17.86,58.71,24.1,6.0,pigeonpeas
13.71,66.96,16.87,6.07,pigeonpeas
14.47,68.37,15.45,5.92,pigeonpeas
17.87,65.5,11.38,6.28,pigeonpeas
15.0,57.74,18.93,5.84,pigeonpeas
21.64,65.37,17.67,6.0,pigeonpeas
18.14,65.36,13.8,5.95,pigeonpeas
29.5,66.26,21.81,5.75,pigeonpeas
13.05,64.18,18.2,5.53,pigeonpeas
20.81,64.78,15.7,6.91,pigeonpeas
19.19,49.28,17.84,6.8,mothbeans
18.34,39.43,19.29,6.64,mothbeans
22.74,44.43,20.36,5.89,mothbeans
22.01,51.86,22.42,6.83,mothbeans
15.38,46.6,24.32,7.15,mothbeans
25.49,45.44,18.82,6.8,mothbeans
20.62,55.0,18.18,7.77,mothbeans
16.56,42.76,21.75,7.01,mothbeans
25.76,44.01,22.44,7.52,mothbeans
23.5,49.06,18.26,7.1,mothbeans
15.94,49.95,23.16,7.33,mothbeans
28.11,50.48,23.92,7.11,mothbeans
23.64,52.56,25.17,7.55,mothbeans
20.96,48.99,27.11,7.02,mothbeans
27.36,50.45,16.53,7.2,mothbeans
21.64,46.7,20.06,7.15,mothbeans
20.89,48.31,20.05,6.88,mothbeans
18.36,48.54,19.61,7.16,mothbeans
23.33,49.08,17.4,7.89,mothbeans
22.91,51.86,14.06,6.89,mothbeans
21.06,50.78,20.37,7.17,mothbeans
17.84,48.22,16.93,7.5,mothbeans
21.52,43.95,20.34,7.46,mothbeans
20.72,48.34,16.82,7.0,mothbeans
15.67,47.86,15.6,6.05,mothbeans
15.11,48.97,20.94,7.21,mothbeans
23.26,59.03,20.6,6.11,mothbeans
10.59,45.38,22.32,7.59,mothbeans
21.82,50.11,28.74,7.07,mothbeans
19.09,53.34,21.11,7.4,mothbeans
26.23,48.49,21.94,6.64,mothbeans
19.03,59.69,15.69,6.38,mothbeans
23.64,46.11,14.85,7.1,mothbeans
19.41,49.62,26.33,6.99,mothbeans
21.45,44.01,16.31,6.8,mothbeans
23.95,46.24,15.82,7.03,mothbeans
19.15,49.24,19.84,8.11,mothbeans
24.99,52.23,19.64,7.33,mothbeans
17.03,49.6,16.39,7.42,mothbeans
22.18,54.3,18.78,7.34,mothbeans
24.69,47.53,24.92,7.59,mothbeans
23.64,46.34,16.78,6.92,mothbeans
28.67,61.52,14.43,6.18,mothbeans
17.95,49.97,23.77,6.92,mothbeans
15.48,44.4,21.97,7.32,mothbeans
17.02,44.53,17.52,6.61,mothbeans
23.64,43.29,13.67,6.93,mothbeans
22.99,52.68,17.02,6.72,mothbeans
21.41,46.18,19.78,7.6,mothbeans
16.51,48.64,24.66,7.3,mothbeans
24.07,47.68,15.85,7.26,mothbeans
16.1,51.66,19.66,7.25,mothbeans
25.64,43.77,22.7,6.99,mothbeans
32.43,42.62,10.47,7.08,mothbeans
22.47,49.12,24.14,6.53,mothbeans
23.33,51.0,15.27,6.13,mothbeans
19.03,49.66,21.33,7.06,mothbeans
13.76,43.95,20.99,7.13,mothbeans
18.59,51.39,24.34,7.48,mothbeans
16.63,44.28,22.2,7.63,mothbeans
15.21,45.39,10.49,7.63,mothbeans
27.89,43.28,16.86,6.6,mothbeans
22.09,54.51,20.55,6.86,mothbeans
22.52,51.17,19.22,7.19,mothbeans
19.76,51.02,21.91,8.01,mothbeans
20.31,54.24,23.16,7.59,mothbeans
24.86,62.06,22.43,7.45,mothbeans
20.87,39.45,19.14,6.84,mothbeans
23.12,44.31,12.61,6.65,mothbeans
20.22,44.92,18.18,7.32,mothbeans
19.63,43.75,21.67,6.56,mothbeans
15.37,42.61,15.64,6.9,mothbeans
13.09,46.5,22.53,6.95,mothbeans
19.95,41.92,23.63,7.64,mothbeans
21.23,49.68,20.51,6.86,mothbeans
15.86,48.26,7.74,6.02,mothbeans
20.86,50.41,14.89,7.2,mothbeans
21.22,50.54,27.54,6.72,mothbeans
12.38,51.02,17.81,7.02,mothbeans
17.34,46.13,12.06,6.97,mothbeans
22.63,58.61,24.94,6.89,mothbeans
22.55,49.17,20.05,7.32,mothbeans
16.39,38.69,24.42,6.39,mothbeans
21.63,42.99,21.11,6.79,mothbeans
25.09,39.3,21.83,7.27,mothbeans
24.11,48.09,21.45,6.75,mothbeans
20.62,47.39,22.79,6.36,mothbeans
19.13,45.66,29.11,7.27,mothbeans
18.48,58.05,23.88,7.45,mothbeans
22.87,50.74,13.68,6.98,mothbeans
21.78,51.63,21.79,6.22,mothbeans
23.52,43.34,24.57,7.28,mothbeans
21.53,43.0,24.81,6.34,mothbeans
24.28,48.18,18.29,7.12,mothbeans
21.38,48.87,24.66,6.65,mothbeans
24.14,38.72,23.71,6.54,mothbeans
24.48,47.1,30.29,6.82,mothbeans
17.78,48.07,17.0,6.93,mothbeans
13.77,46.92,17.97,6.74,mothbeans
27.17,43.93,18.78,7.24,mothbeans
19.22,49.77,17.82,7.04,mungbean
24.92,48.24,25.65,6.26,mungbean
22.12,52.04,19.65,7.03,mungbean
18.21,49.42,20.82,7.17,mungbean
17.54,53.09,24.72,6.78,mungbean
14.41,51.6,16.41,6.63,mungbean
22.16,54.61,16.03,6.86,mungbean
19.58,48.79,19.21,5.56,mungbean
11.51,51.53,23.31,6.82,mungbean
18.86,45.46,14.68,6.65,mungbean
17.4,43.99,13.33,6.68,mungbean
27.3,55.53,23.29,6.98,mungbean
14.19,48.08,17.59,6.67,mungbean
15.23,51.02,18.43,6.24,mungbean
25.44,47.62,12.57,6.64,mungbean
26.43,44.07,17.28,6.73,mungbean
18.02,47.05,19.97,6.75,mungbean
18.47,54.18,23.72,6.76,mungbean
23.46,49.78,16.92,7.12,mungbean
11.69,38.44,26.63,6.27,mungbean
13.56,45.92,17.26,6.77,mungbean
19.88,55.91,17.27,7.22,mungbean
27.2,45.93,26.15,6.01,mungbean
19.26,38.0,20.85,6.77,mungbean
21.4,56.47,17.79,6.47,mungbean
25.54,50.41,19.38,6.55,mungbean
29.43,46.65,25.41,6.34,mungbean
18.69,45.14,25.86,6.63,mungbean
20.93,52.41,16.73,7.44,mungbean
28.29,44.29,19.83,6.19,mungbean
14.91,52.74,20.36,6.23,mungbean
25.11,49.71,16.06,6.18,mungbean
16.93,48.22,19.78,7.39,mungbean
21.41,47.73,20.02,6.52,mungbean
20.03,46.13,24.56,6.69,mungbean
17.17,52.23,24.83,6.54,mungbean
17.07,42.67,18.68,6.32,mungbean
22.11,38.89,19.14,6.61,mungbean
24.98,50.07,22.66,7.68,mungbean
20.48,50.16,17.66,7.26,mungbean
21.28,49.4,22.35,6.36,mungbean
23.28,49.04,19.65,6.96,mungbean
17.11,45.4,16.12,6.37,mungbean
23.96,50.94,16.17,5.99,mungbean
24.28,46.77,25.79,7.11,mungbean
31.41,44.56,19.37,7.16,mungbean
19.5,45.44,26.56,7.12,mungbean
19.17,57.1,17.95,6.51,mungbean
24.08,38.33,21.16,6.63,mungbean
24.28,49.5,29.57,7.0,mungbean
18.86,38.6,15.77,6.86,mungbean
19.39,46.46,12.41,6.54,mungbean
23.16,44.83,25.15,6.05,mungbean
17.69,36.57,16.69,6.75,mungbean
19.36,48.95,19.92,7.13,mungbean
21.36,45.1,17.66,6.22,mungbean
